ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TIPO,TOTAL_ELEM,CAPACIDAD_MAX
18130,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,443916.75,4482098.32,ETRS89,40.48768746,-3.66175202,AVENIDA,MANOTERAS,49,28050.0,"Av · AVENIDA MANOTERAS 52 , ASCENDIENTE 1: 166 ·",31020648.0,2003-01-01 00:00:00.0,16125,AE21,Infantiles,3.0,
17510,Área Infantil,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,436178.93,4469158.3,ETRS89,40.37056036,-3.75174798,CALLE,CHIRIMOYA,12,28044.0,"CHIRIMOYA, 000012",31037589.0,2003-01-01 00:00:00.0,11126,AE21,Infantiles,14.0,
17512,Área Infantil,117,ABRANTES,11,CARABANCHEL,OPERATIVO,438933.902,4470590.428,ETRS89,40.38366806,-3.71943687,CALLE,VALDERRIBAS,30,28007.0,"VÍA LUSITANA, 000001  A",11011164.0,2007-01-01 00:00:00.0,11129,AE21,Infantiles,13.0,
17514,Área Infantil,114,VISTA ALEGRE,11,CARABANCHEL,OPERATIVO,436178.3,4470216.3,ETRS89,40.38009124,-3.75186133,CALLE,PARQUE EUGENIA DE MONTIJO,76,28047.0,"PARQUE EUGENIA DE MONTIJO, 000076",20119474.0,2003-01-01 00:00:00.0,11134,AE21,Infantiles,18.0,
17516,Área Infantil,113,SAN ISIDRO,11,CARABANCHEL,OPERATIVO,437936.756,4472151.275,ETRS89,40.39765521,-3.73133572,CALLE,CARLOS DABAN,30,28019.0,"CARLOS DABÁN, 000030",11071786.0,2003-01-01 00:00:00.0,11137,AE21,Infantiles,18.0,
17517,Área Infantil,114,VISTA ALEGRE,11,CARABANCHEL,OPERATIVO,436189.81,4470131.37,ETRS89,40.37932703,-3.75171724,CALLE,PARQUE EUGENIA DE MONTIJO,42,28047.0,"PARQUE EUGENIA DE MONTIJO, 000042",11074955.0,2003-01-01 00:00:00.0,11143,AE21,Infantiles,11.0,
17519,Área Infantil,112,OPAÑEL,11,CARABANCHEL,OPERATIVO,438338.631,4471101.645,ETRS89,40.38822951,-3.72649888,CALLE,CAMINO VIEJO DE LEGANES,87 B,28019.0,"CAMINO VIEJO DE LEGANÉS, 000087  B",11070296.0,2008-01-01 00:00:00.0,11146,AE21,Infantiles,11.0,
17521,Área Infantil,117,ABRANTES,11,CARABANCHEL,OPERATIVO,438693.69,4469540.09,ETRS89,40.37418846,-3.72216563,AVENIDA,POBLADOS,155,28025.0,"AVDA POBLADOS, 000155",20152133.0,2003-01-01 00:00:00.0,11148,AE21,Infantiles,6.0,
17523,Área Infantil,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,435868.31,4468641.9,ETRS89,40.36588456,-3.75535453,CALLE,LONJA DE LA SEDA,4,28054.0,"LONJA DE LA SEDA, 000004",31037138.0,2004-01-01 00:00:00.0,11152,AE21,Infantiles,7.0,
17525,Área Infantil,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,435250.425,4468687.511,ETRS89,40.36624768,-3.76263611,CALLE,LONJA DE LA SEDA,39,28054.0,"LONJA DE LA SEDA, 000039",31004951.0,2004-01-01 00:00:00.0,11154,AE21,Infantiles,12.0,
